review_id,review,aspect,sentiment
1,"Mata uang Asia 'rontok' berjamaah pada perdagangan Senin ini tergulung 'tsunami' yang melanda pasar keuangan global, akibat peningkatan ketegangan geopolitik yang dipicu oleh perang tarif Amerika Serikat (AS).
Won Korea Selatan pagi ini ambrol hingga 1,16%, disusul oleh baht yang juga ambles 1,11%. Ringgit juga tergerus sampai 0,95%, dolar Singapura 0,91%.
Dolar Taiwan juga melemah sampai 0,73%, peso menyusul di belakang dengan penurunan hingga 0,45%, yuan offshore juga rontok 0,43%, disusul juga oleh yen Jepang yang ambles 0,36%. Dolar Hong Kong melemah sedikit 0,03%.
Sejauh ini tidak ada mata uang Asia yang 'lolos' dari terjangan keperkasaan dolar AS yang melejit hingga 1,24% pagi ini ke level 109,71, pagi ini.
Di pasar offshore, kontrak rupiah Non Deliverable Forward dibuka melemah 0,16% dan saat ini bergerak tertekan di Rp16.415/US$, mengisyaratkan pelemahan serupa kemungkinan besar terjadi di pasar spot mulai pembukaan pasar domestik pukul 09:00 WIB nanti.
",Mata uang Asia,Negatif
1,"Mata uang Asia 'rontok' berjamaah pada perdagangan Senin ini tergulung 'tsunami' yang melanda pasar keuangan global, akibat peningkatan ketegangan geopolitik yang dipicu oleh perang tarif Amerika Serikat (AS).
Won Korea Selatan pagi ini ambrol hingga 1,16%, disusul oleh baht yang juga ambles 1,11%. Ringgit juga tergerus sampai 0,95%, dolar Singapura 0,91%.
Dolar Taiwan juga melemah sampai 0,73%, peso menyusul di belakang dengan penurunan hingga 0,45%, yuan offshore juga rontok 0,43%, disusul juga oleh yen Jepang yang ambles 0,36%. Dolar Hong Kong melemah sedikit 0,03%.
Sejauh ini tidak ada mata uang Asia yang 'lolos' dari terjangan keperkasaan dolar AS yang melejit hingga 1,24% pagi ini ke level 109,71, pagi ini.
Di pasar offshore, kontrak rupiah Non Deliverable Forward dibuka melemah 0,16% dan saat ini bergerak tertekan di Rp16.415/US$, mengisyaratkan pelemahan serupa kemungkinan besar terjadi di pasar spot mulai pembukaan pasar domestik pukul 09:00 WIB nanti.
",Won Korea Selatan,Negatif
1,"Mata uang Asia 'rontok' berjamaah pada perdagangan Senin ini tergulung 'tsunami' yang melanda pasar keuangan global, akibat peningkatan ketegangan geopolitik yang dipicu oleh perang tarif Amerika Serikat (AS).
Won Korea Selatan pagi ini ambrol hingga 1,16%, disusul oleh baht yang juga ambles 1,11%. Ringgit juga tergerus sampai 0,95%, dolar Singapura 0,91%.
Dolar Taiwan juga melemah sampai 0,73%, peso menyusul di belakang dengan penurunan hingga 0,45%, yuan offshore juga rontok 0,43%, disusul juga oleh yen Jepang yang ambles 0,36%. Dolar Hong Kong melemah sedikit 0,03%.
Sejauh ini tidak ada mata uang Asia yang 'lolos' dari terjangan keperkasaan dolar AS yang melejit hingga 1,24% pagi ini ke level 109,71, pagi ini.
Di pasar offshore, kontrak rupiah Non Deliverable Forward dibuka melemah 0,16% dan saat ini bergerak tertekan di Rp16.415/US$, mengisyaratkan pelemahan serupa kemungkinan besar terjadi di pasar spot mulai pembukaan pasar domestik pukul 09:00 WIB nanti.
",Baht Thailand,Negatif
1,"Mata uang Asia 'rontok' berjamaah pada perdagangan Senin ini tergulung 'tsunami' yang melanda pasar keuangan global, akibat peningkatan ketegangan geopolitik yang dipicu oleh perang tarif Amerika Serikat (AS).
Won Korea Selatan pagi ini ambrol hingga 1,16%, disusul oleh baht yang juga ambles 1,11%. Ringgit juga tergerus sampai 0,95%, dolar Singapura 0,91%.
Dolar Taiwan juga melemah sampai 0,73%, peso menyusul di belakang dengan penurunan hingga 0,45%, yuan offshore juga rontok 0,43%, disusul juga oleh yen Jepang yang ambles 0,36%. Dolar Hong Kong melemah sedikit 0,03%.
Sejauh ini tidak ada mata uang Asia yang 'lolos' dari terjangan keperkasaan dolar AS yang melejit hingga 1,24% pagi ini ke level 109,71, pagi ini.
Di pasar offshore, kontrak rupiah Non Deliverable Forward dibuka melemah 0,16% dan saat ini bergerak tertekan di Rp16.415/US$, mengisyaratkan pelemahan serupa kemungkinan besar terjadi di pasar spot mulai pembukaan pasar domestik pukul 09:00 WIB nanti.
",Ringgit Malaysia,Negatif
1,"Mata uang Asia 'rontok' berjamaah pada perdagangan Senin ini tergulung 'tsunami' yang melanda pasar keuangan global, akibat peningkatan ketegangan geopolitik yang dipicu oleh perang tarif Amerika Serikat (AS).
Won Korea Selatan pagi ini ambrol hingga 1,16%, disusul oleh baht yang juga ambles 1,11%. Ringgit juga tergerus sampai 0,95%, dolar Singapura 0,91%.
Dolar Taiwan juga melemah sampai 0,73%, peso menyusul di belakang dengan penurunan hingga 0,45%, yuan offshore juga rontok 0,43%, disusul juga oleh yen Jepang yang ambles 0,36%. Dolar Hong Kong melemah sedikit 0,03%.
Sejauh ini tidak ada mata uang Asia yang 'lolos' dari terjangan keperkasaan dolar AS yang melejit hingga 1,24% pagi ini ke level 109,71, pagi ini.
Di pasar offshore, kontrak rupiah Non Deliverable Forward dibuka melemah 0,16% dan saat ini bergerak tertekan di Rp16.415/US$, mengisyaratkan pelemahan serupa kemungkinan besar terjadi di pasar spot mulai pembukaan pasar domestik pukul 09:00 WIB nanti.
",Dolar Singapura,Negatif
1,"Mata uang Asia 'rontok' berjamaah pada perdagangan Senin ini tergulung 'tsunami' yang melanda pasar keuangan global, akibat peningkatan ketegangan geopolitik yang dipicu oleh perang tarif Amerika Serikat (AS).
Won Korea Selatan pagi ini ambrol hingga 1,16%, disusul oleh baht yang juga ambles 1,11%. Ringgit juga tergerus sampai 0,95%, dolar Singapura 0,91%.
Dolar Taiwan juga melemah sampai 0,73%, peso menyusul di belakang dengan penurunan hingga 0,45%, yuan offshore juga rontok 0,43%, disusul juga oleh yen Jepang yang ambles 0,36%. Dolar Hong Kong melemah sedikit 0,03%.
Sejauh ini tidak ada mata uang Asia yang 'lolos' dari terjangan keperkasaan dolar AS yang melejit hingga 1,24% pagi ini ke level 109,71, pagi ini.
Di pasar offshore, kontrak rupiah Non Deliverable Forward dibuka melemah 0,16% dan saat ini bergerak tertekan di Rp16.415/US$, mengisyaratkan pelemahan serupa kemungkinan besar terjadi di pasar spot mulai pembukaan pasar domestik pukul 09:00 WIB nanti.
",Dolar Taiwan,Negatif
1,"Mata uang Asia 'rontok' berjamaah pada perdagangan Senin ini tergulung 'tsunami' yang melanda pasar keuangan global, akibat peningkatan ketegangan geopolitik yang dipicu oleh perang tarif Amerika Serikat (AS).
Won Korea Selatan pagi ini ambrol hingga 1,16%, disusul oleh baht yang juga ambles 1,11%. Ringgit juga tergerus sampai 0,95%, dolar Singapura 0,91%.
Dolar Taiwan juga melemah sampai 0,73%, peso menyusul di belakang dengan penurunan hingga 0,45%, yuan offshore juga rontok 0,43%, disusul juga oleh yen Jepang yang ambles 0,36%. Dolar Hong Kong melemah sedikit 0,03%.
Sejauh ini tidak ada mata uang Asia yang 'lolos' dari terjangan keperkasaan dolar AS yang melejit hingga 1,24% pagi ini ke level 109,71, pagi ini.
Di pasar offshore, kontrak rupiah Non Deliverable Forward dibuka melemah 0,16% dan saat ini bergerak tertekan di Rp16.415/US$, mengisyaratkan pelemahan serupa kemungkinan besar terjadi di pasar spot mulai pembukaan pasar domestik pukul 09:00 WIB nanti.
",Peso Filipina,Negatif
1,"Mata uang Asia 'rontok' berjamaah pada perdagangan Senin ini tergulung 'tsunami' yang melanda pasar keuangan global, akibat peningkatan ketegangan geopolitik yang dipicu oleh perang tarif Amerika Serikat (AS).
Won Korea Selatan pagi ini ambrol hingga 1,16%, disusul oleh baht yang juga ambles 1,11%. Ringgit juga tergerus sampai 0,95%, dolar Singapura 0,91%.
Dolar Taiwan juga melemah sampai 0,73%, peso menyusul di belakang dengan penurunan hingga 0,45%, yuan offshore juga rontok 0,43%, disusul juga oleh yen Jepang yang ambles 0,36%. Dolar Hong Kong melemah sedikit 0,03%.
Sejauh ini tidak ada mata uang Asia yang 'lolos' dari terjangan keperkasaan dolar AS yang melejit hingga 1,24% pagi ini ke level 109,71, pagi ini.
Di pasar offshore, kontrak rupiah Non Deliverable Forward dibuka melemah 0,16% dan saat ini bergerak tertekan di Rp16.415/US$, mengisyaratkan pelemahan serupa kemungkinan besar terjadi di pasar spot mulai pembukaan pasar domestik pukul 09:00 WIB nanti.
",Yuan Offshore,Negatif
1,"Mata uang Asia 'rontok' berjamaah pada perdagangan Senin ini tergulung 'tsunami' yang melanda pasar keuangan global, akibat peningkatan ketegangan geopolitik yang dipicu oleh perang tarif Amerika Serikat (AS).
Won Korea Selatan pagi ini ambrol hingga 1,16%, disusul oleh baht yang juga ambles 1,11%. Ringgit juga tergerus sampai 0,95%, dolar Singapura 0,91%.
Dolar Taiwan juga melemah sampai 0,73%, peso menyusul di belakang dengan penurunan hingga 0,45%, yuan offshore juga rontok 0,43%, disusul juga oleh yen Jepang yang ambles 0,36%. Dolar Hong Kong melemah sedikit 0,03%.
Sejauh ini tidak ada mata uang Asia yang 'lolos' dari terjangan keperkasaan dolar AS yang melejit hingga 1,24% pagi ini ke level 109,71, pagi ini.
Di pasar offshore, kontrak rupiah Non Deliverable Forward dibuka melemah 0,16% dan saat ini bergerak tertekan di Rp16.415/US$, mengisyaratkan pelemahan serupa kemungkinan besar terjadi di pasar spot mulai pembukaan pasar domestik pukul 09:00 WIB nanti.
",Yen Jepang,Negatif
1,"Mata uang Asia 'rontok' berjamaah pada perdagangan Senin ini tergulung 'tsunami' yang melanda pasar keuangan global, akibat peningkatan ketegangan geopolitik yang dipicu oleh perang tarif Amerika Serikat (AS).
Won Korea Selatan pagi ini ambrol hingga 1,16%, disusul oleh baht yang juga ambles 1,11%. Ringgit juga tergerus sampai 0,95%, dolar Singapura 0,91%.
Dolar Taiwan juga melemah sampai 0,73%, peso menyusul di belakang dengan penurunan hingga 0,45%, yuan offshore juga rontok 0,43%, disusul juga oleh yen Jepang yang ambles 0,36%. Dolar Hong Kong melemah sedikit 0,03%.
Sejauh ini tidak ada mata uang Asia yang 'lolos' dari terjangan keperkasaan dolar AS yang melejit hingga 1,24% pagi ini ke level 109,71, pagi ini.
Di pasar offshore, kontrak rupiah Non Deliverable Forward dibuka melemah 0,16% dan saat ini bergerak tertekan di Rp16.415/US$, mengisyaratkan pelemahan serupa kemungkinan besar terjadi di pasar spot mulai pembukaan pasar domestik pukul 09:00 WIB nanti.
",Dolar Hong Kong,Negatif
